session_id;username;time;position;velocity;rotation;current_lap
1;manelmm3;29/11/2019 20:17:31;361.0, 0.0, 200.9;-4.9, 0.0, -30.5;0.0, 1.0, 0.0, -0.1;0
1;manelmm3;29/11/2019 20:17:32;359.5, 0.0, 192.0;-5.1, 0.0, -28.4;0.0, 1.0, 0.0, -0.1;0
1;manelmm3;29/11/2019 20:17:32;357.5, 0.0, 184.1;-8.8, 0.0, -23.9;0.0, 1.0, 0.0, -0.2;0
1;manelmm3;29/11/2019 20:17:32;353.8, 0.1, 177.6;-13.4, 0.0, -17.3;0.0, 0.9, 0.0, -0.3;0
1;manelmm3;29/11/2019 20:17:32;349.2, 0.1, 173.4;-17.3, 0.0, -10.8;0.0, 0.9, 0.0, -0.5;0
1;manelmm3;29/11/2019 20:17:33;343.7, 0.1, 171.4;-18.8, 0.0, -2.8;0.0, 0.8, 0.0, -0.7;0
1;manelmm3;29/11/2019 20:17:33;337.9, 0.1, 172.0;-16.6, 0.0, 5.9;0.0, 0.6, 0.0, -0.8;0
1;manelmm3;29/11/2019 20:17:33;333.5, 0.1, 174.9;-13.3, 0.0, 12.6;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:34;329.7, 0.1, 179.2;-12.5, 0.0, 15.2;0.0, 0.3, 0.0, -1.0;0
1;manelmm3;29/11/2019 20:17:34;325.9, 0.1, 184.0;-13.1, 0.0, 16.5;0.0, 0.3, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:34;321.5, 0.1, 189.4;-14.3, 0.0, 17.4;0.0, 0.3, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:35;317.1, 0.0, 194.8;-15.5, 0.0, 18.1;0.0, 0.3, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:35;312.3, 0.0, 200.3;-16.5, 0.0, 18.8;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:35;307.0, 0.0, 205.9;-18.8, 0.0, 18.3;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:35;301.0, 0.0, 211.3;-20.6, 0.0, 18.1;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:36;294.7, 0.0, 216.9;-21.4, 0.0, 18.9;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:36;287.7, 0.0, 223.1;-22.2, 0.0, 19.8;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:36;281.0, 0.0, 229.2;-22.9, 0.0, 20.6;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:37;274.0, 0.0, 235.5;-23.7, 0.0, 21.4;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:37;266.7, 0.0, 242.1;-24.4, 0.0, 22.1;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:37;259.3, 0.0, 248.8;-25.6, 0.0, 22.2;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:38;251.1, 0.0, 255.0;-28.7, 0.0, 19.6;0.0, 0.5, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:38;242.3, 0.0, 260.8;-29.2, 0.0, 20.4;0.0, 0.5, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:38;233.0, 0.0, 267.7;-28.9, 0.0, 22.4;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:38;224.3, 0.0, 274.7;-28.8, 0.0, 24.0;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:39;215.7, 0.0, 282.1;-28.9, 0.0, 25.2;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:39;207.0, 0.0, 289.8;-28.7, 0.0, 25.7;0.0, 0.4, 0.0, -0.9;0
